,location,cases,population,percentagePerPopulation
0,Afghanistan,179321.0,39835428.0,0.4501545709512648
1,Albania,275621.0,2872934.0,9.593711515823196
2,Algeria,265823.0,44616626.0,0.5957935949706282
3,Andorra,42156.0,77354.0,54.49750497711818
4,Angola,99287.0,33933611.0,0.2925919083589424
5,Anguilla,3116.0,15125.0,20.601652892561983
6,Antigua and Barbuda,7795.0,98728.0,7.895429867919941
7,Argentina,9135308.0,45605823.0,20.031012267885178
8,Armenia,422917.0,2968128.0,14.2486105720508
9,Aruba,35693.0,107195.0,33.29726199916041
10,Australia,6703295.0,25788217.0,25.993635000046726
11,Austria,4253741.0,9043072.0,47.038672256507525
12,Azerbaijan,792638.0,10223344.0,7.753216560060975
13,Bahamas,33957.0,396914.0,8.555253782935345
14,Bahrain,578255.0,1748295.0,33.07536771540272
15,Bangladesh,1953049.0,166303494.0,1.1743884346771452
16,Barbados,76895.0,287708.0,26.72675073338246
17,Belarus,982867.0,9442867.0,10.40856553417516
18,Belgium,4127123.0,11632334.0,35.4797498077342
19,Belize,58028.0,404915.0,14.330908956200684
20,Benin,26952.0,12451031.0,0.21646400205733965
21,Bermuda,14135.0,62092.0,22.764607356825355
22,Bhutan,59574.0,779900.0,7.638671624567252
23,Bolivia,906333.0,11832936.0,7.659409296222003
24,Bonaire Sint Eustatius and Saba,9986.0,26445.0,37.76139156740405
25,Bosnia and Herzegovina,377579.0,3263459.0,11.569901751485158
26,Botswana,306324.0,2397240.0,12.778194924162786
27,Brazil,30701900.0,213993441.0,14.347121975574941
28,British Virgin Islands,6573.0,30423.0,21.605364362488906
29,Brunei,144956.0,441532.0,32.830236540046926
30,Bulgaria,1161992.0,6896655.0,16.848631691740415
31,Burkina Faso,20899.0,21497097.0,0.09721777782367545
32,Burundi,41530.0,12255429.0,0.33887022641149483
33,Cambodia,136262.0,16946446.0,0.8040741993926043
34,Cameroon,119780.0,27224262.0,0.43997519565452314
35,Canada,3838543.0,38067913.0,10.083408039731518
36,Cape Verde,56115.0,561901.0,9.986634656282869
37,Cayman Islands,23578.0,66498.0,35.45670546482601
38,Chad,7415.0,16914985.0,0.04383687008885908
39,Chile,3609338.0,19212362.0,18.786539624851958
40,China,1155852.0,1444216102.0,0.0800331749797926
41,Colombia,6095316.0,51265841.0,11.8896245162544
42,Comoros,8108.0,888456.0,0.9125944334891093
43,Congo,24079.0,5657017.0,0.42564835848999566
44,Cook Islands,5443.0,17572.0,30.975415433644432
45,Costa Rica,866164.0,5139053.0,16.854544991071315
46,Cote d'Ivoire,82008.0,27053629.0,0.30313123610884146
47,Croatia,1131492.0,4081657.0,27.72138864191675
48,Cuba,1104661.0,11317498.0,9.760646743653059
49,Curacao,43017.0,164796.0,26.103182116070776
50,Cyprus,486086.0,896005.0,54.25036690643468
51,Czechia,3916440.0,10724553.0,36.51844510442533
52,Democratic Republic of Congo,87633.0,92377986.0,0.09486351001417155
53,Denmark,3128741.0,5813302.0,53.82037609606382
54,Djibouti,15631.0,1002197.0,1.5596733975455923
55,Dominica,13116.0,72172.0,18.17325278501358
56,Dominican Republic,580661.0,10953714.0,5.301042185326365
57,Ecuador,872542.0,17888474.0,4.877677100908663
58,Egypt,515645.0,104258327.0,0.4945839961540913
59,El Salvador,162089.0,6518500.0,2.486599677839994
60,Equatorial Guinea,16001.0,1449891.0,1.1036002016703323
61,Eritrea,9745.0,3601462.0,0.27058455704933165
62,Estonia,573922.0,1325188.0,43.308722988738204
63,Eswatini,71775.0,1172369.0,6.122219198904099
64,Ethiopia,470991.0,117876226.0,0.3995640308334948
65,Faeroe Islands,34658.0,49053.0,70.65419036552301
66,Falkland Islands,1126.0,3528.0,31.916099773242628
67,Fiji,64812.0,902899.0,7.1782115164597595
68,Finland,1069740.0,5548361.0,19.280288359030713
69,France,29243871.0,67422000.0,43.374374833140514
70,French Polynesia,72836.0,282534.0,25.779552195487977
71,Gabon,47608.0,2278829.0,2.089143152031153
72,Gambia,11999.0,2486937.0,0.4824810600348943
73,Georgia,1655221.0,3979773.0,41.59083947752799
74,Germany,25818405.0,83900471.0,30.772657998546876
75,Ghana,161310.0,31732128.0,0.508349140656435
76,Gibraltar,18129.0,33691.0,53.80962274791487
77,Greece,3395641.0,10370747.0,32.742491934284004
78,Greenland,11971.0,56868.0,21.050502919040586
79,Grenada,16512.0,113015.0,14.610449940273416
80,Guam,0.0,170184.0,0.0
81,Guatemala,852591.0,18249868.0,4.6717652971517385
82,Guernsey,0.0,63385.0,0.0
83,Guinea,36597.0,13497237.0,0.27114438310596456
84,Guinea-Bissau,8222.0,2015490.0,0.40794050082114025
85,Guyana,63861.0,790329.0,8.080305796699855
86,Haiti,30725.0,11541683.0,0.26620900955259297
87,Honduras,426179.0,10062994.0,4.235111339627153
88,Hong Kong,1208740.0,7552800.0,16.003866115877553
89,Hungary,1909948.0,9634162.0,19.824744487377313
90,Iceland,186545.0,368792.0,50.582713290960754
91,India,43125370.0,1393409033.0,3.0949541002437293
92,Indonesia,6050958.0,276361788.0,2.189506025340956
93,Iran,7228434.0,85028760.0,8.501163606290389
94,Iraq,2326577.0,41179351.0,5.649863204497808
95,Ireland,1535451.0,4982904.0,30.814380529907858
96,Isle of Man,32600.0,85410.0,38.168832689380636
97,Israel,4110592.0,9291000.0,44.24272952319449
98,Italy,17071649.0,60367471.0,28.27954975950541
99,Jamaica,132909.0,2973462.0,4.469840206466402
100,Japan,8391424.0,126050796.0,6.657176524295809
101,Jersey,0.0,101073.0,0.0
102,Jordan,1696359.0,10269022.0,16.519187513669753
103,Kazakhstan,1394715.0,18994958.0,7.342553745051713
104,Kenya,324046.0,54985702.0,0.5893277492392477
105,Kiribati,3093.0,121388.0,2.548027811645303
106,Kosovo,228241.0,1782115.0,12.807310414872216
107,Kuwait,632074.0,4328553.0,14.60243180573277
108,Kyrgyzstan,200993.0,6628347.0,3.032324650474696
109,Laos,209434.0,7379358.0,2.8381059707362075
110,Latvia,826038.0,1866934.0,44.245699098093446
111,Lebanon,1098074.0,6769151.0,16.22173888571846
112,Lesotho,33151.0,2159067.0,1.5354317397283177
113,Liberia,7452.0,5180208.0,0.14385522743488294
114,Libya,501954.0,6958538.0,7.213498007771173
115,Liechtenstein,17347.0,38254.0,45.34689182830554
116,Lithuania,1060636.0,2689862.0,39.430870431271195
117,Luxembourg,244182.0,634814.0,38.465125217780326
118,Macao,82.0,658391.0,0.012454605242173724
119,Madagascar,64276.0,28427333.0,0.2261063322401718
120,Malawi,85889.0,19647681.0,0.4371457374536975
121,Malaysia,4479809.0,32776195.0,13.66787389445297
122,Maldives,179560.0,543620.0,33.03042566498657
123,Mali,31014.0,20855724.0,0.14870737644974588
124,Malta,93572.0,516100.0,18.130594845960086
125,Marshall Islands,17.0,59618.0,0.02851487805696266
126,Mauritania,58871.0,4775110.0,1.232872122317601
127,Mauritius,223793.0,1273428.0,17.5740599389993
128,Mexico,5752441.0,130262220.0,4.4160471086704955
129,Micronesia (country),7.0,116255.0,0.006021246398004387
130,Moldova,518166.0,4024025.0,12.876808667938198
131,Monaco,12035.0,39520.0,30.452935222672068
132,Mongolia,922227.0,3329282.0,27.70047715994019
133,Montenegro,236320.0,628051.0,37.62751751052064
134,Montserrat,794.0,4981.0,15.940574181891186
135,Morocco,1165849.0,37344787.0,3.121852053942629
136,Mozambique,225503.0,32163045.0,0.7011245359386836
137,Myanmar,613144.0,54806014.0,1.1187531353767126
138,Namibia,160074.0,2587344.0,6.186807784353376
139,Nauru,0.0,10873.0,0.0
140,Nepal,979004.0,29674920.0,3.299095667317722
141,Netherlands,8164465.0,17173094.0,47.54219012601922
142,New Caledonia,61185.0,288217.0,21.228796358299476
143,New Zealand,1060710.0,5126300.0,20.691531904102376
144,Nicaragua,18491.0,6702379.0,0.275887114112765
145,Niger,9013.0,25130810.0,0.035864343409543906
146,Nigeria,255859.0,211400704.0,0.1210303443454947
147,Niue,0.0,1614.0,0.0
148,North Korea,1.0,25887045.0,3.862936074781807e-06
149,North Macedonia,310859.0,2082661.0,14.926048934512146
150,Northern Cyprus,0.0,0.0,0.0
151,Northern Mariana Islands,0.0,57910.0,0.0
152,Norway,1430124.0,5465629.0,26.165771588228914
153,Oman,389427.0,5223376.0,7.455465583944178
154,Pakistan,1529251.0,225199929.0,0.6790637132039238
155,Palau,4879.0,18174.0,26.846043798833495
156,Palestine,657329.0,5222756.0,12.585864627794214
157,Panama,810242.0,4381583.0,18.491992505904832
158,Papua New Guinea,44276.0,9119005.0,0.4855354284815065
159,Paraguay,649929.0,7219641.0,9.002234321623472
160,Peru,3571516.0,33359415.0,10.70617095653506
161,Philippines,3688292.0,111046910.0,3.3213819276916396
162,Pitcairn,0.0,47.0,0.0
163,Poland,6003531.0,37797000.0,15.883617747440274
164,Portugal,4066674.0,10167923.0,39.99512978215905
165,Puerto Rico,0.0,2828246.0,0.0
166,Qatar,366343.0,2930524.0,12.500938398730058
167,Romania,2903394.0,19127772.0,15.178945043886971
168,Russia,17998438.0,145912022.0,12.335130274597935
169,Rwanda,129931.0,13276517.0,0.9786527596055502
170,Saint Helena,4.0,6095.0,0.06562756357670221
171,Saint Kitts and Nevis,5610.0,53546.0,10.476973069883838
172,Saint Lucia,24396.0,184401.0,13.229863178616169
173,Saint Pierre and Miquelon,2739.0,5771.0,47.46144515681858
174,Saint Vincent and the Grenadines,9447.0,111269.0,8.49023537553137
175,Samoa,11671.0,200144.0,5.831301462946678
176,San Marino,16852.0,34010.0,49.550132314025284
177,Sao Tome and Principe,5973.0,223364.0,2.6741104206586557
178,Saudi Arabia,759856.0,35340680.0,2.1500887928585413
179,Senegal,86045.0,17196308.0,0.5003690327016707
180,Serbia,2013240.0,6871547.0,29.29820606626135
181,Seychelles,43387.0,98910.0,43.86512991608533
182,Sierra Leone,7682.0,8141343.0,0.09435789647973314
183,Singapore,1240233.0,5453600.0,22.74154686812381
184,Sint Maarten (Dutch part),0.0,43421.0,0.0
185,Slovakia,2539041.0,5449270.0,46.59414930807246
186,Slovenia,1019834.0,2078723.0,49.060601147916294
187,Solomon Islands,18174.0,703995.0,2.5815524257984785
188,Somalia,26518.0,16359500.0,0.16209541856413706
189,South Korea,17830429.0,51305184.0,34.75365959120232
190,South Sudan,17541.0,11381377.0,0.15412019125629525
191,Spain,12127122.0,46745211.0,25.94302547912341
192,Sri Lanka,663678.0,21497306.0,3.087261259620159
193,Sudan,62195.0,44909351.0,0.1384900886231912
194,Suriname,80008.0,591798.0,13.519477929969348
195,Sweden,2504894.0,10160159.0,24.65408267724944
196,Switzerland,3649155.0,8715494.0,41.86974370012761
197,Syria,55871.0,18275704.0,0.30571188940245475
198,Taiwan,830257.0,23855008.0,3.480430608113818
199,Tajikistan,17786.0,9749625.0,0.18242752926394604
200,Tanzania,35354.0,61498438.0,0.057487638954342224
201,Thailand,4382977.0,69950844.0,6.265795735073618
202,Timor,22889.0,1343875.0,1.7032090038135987
203,Togo,37023.0,8478242.0,0.4366825103600487
204,Tokelau,0.0,1368.0,0.0
205,Tonga,11280.0,106759.0,10.565853932689516
206,Trinidad and Tobago,155384.0,1403374.0,11.072173205432051
207,Tunisia,1041197.0,11935764.0,8.723337693339111
208,Turkey,15055576.0,85042736.0,17.703541428864657
209,Turkmenistan,0.0,6117933.0,0.0
210,Turks and Caicos Islands,6046.0,39226.0,15.413246316218835
211,Tuvalu,0.0,11925.0,0.0
212,Uganda,164153.0,47123533.0,0.34834612252014296
213,Ukraine,5040518.0,43466822.0,11.596242301772143
214,United Arab Emirates,902803.0,9991083.0,9.036087479205207
215,United Kingdom,22279102.0,68207114.0,32.66389778638047
216,United States,82613620.0,332915074.0,24.815223596634137
217,United States Virgin Islands,0.0,104218.0,0.0
218,Uruguay,902540.0,3485152.0,25.8967184214634
219,Uzbekistan,238818.0,33935765.0,0.7037354248533958
220,Vanuatu,8464.0,314464.0,2.6915640582069806
221,Vatican,29.0,812.0,3.571428571428571
222,Venezuela,523059.0,28704947.0,1.8221911366009491
223,Vietnam,10698180.0,98168829.0,10.897736184670187
224,Wallis and Futuna,454.0,11094.0,4.092302145303768
225,Western Sahara,0.0,611872.0,0.0
226,Yemen,11819.0,30490639.0,0.038762716648870495
227,Zambia,320680.0,18920657.0,1.6948671496978145
228,Zimbabwe,249431.0,15092171.0,1.6527178230355328
